X1,X2,Y
77,49,1
18,16,0
4,1,0
15,88,0
36,72,0
7,89,0
20,45,0
57,95,1
15,93,0
10,1,0
66,62,1
78,16,1
80,99,1
89,11,1
13,94,0
27,92,0
6,46,0
47,100,0
71,89,1
42,20,0
40,84,0
34,40,0
41,64,0
51,52,1
43,99,0
60,67,1
49,47,0
95,85,1
87,59,1
61,45,1
78,51,1
88,38,1
3,46,0
13,56,0
50,34,1
48,40,0
91,69,1
53,59,1
47,16,0
89,89,1
12,53,0
96,88,1
18,75,0
2,15,0
63,44,1
61,96,1
66,20,1
27,60,0
60,27,1
70,69,1
69,53,1
13,49,0
20,48,0
14,11,0
33,52,0
0,58,0
26,78,0
33,54,0
69,66,1
34,34,0
28,59,0
4,25,0
80,51,1
56,35,1
58,28,1
72,79,1
31,86,0
12,67,0
90,0,1
29,35,0
88,14,1
61,47,1
97,12,1
97,23,1
59,44,1
53,18,1
77,37,1
7,95,0
61,30,1
14,99,0
48,88,0
97,86,1
24,1,0
65,62,1
35,90,0
7,53,0
95,80,1
46,14,0
48,24,0
60,56,1
42,42,0
64,14,1
98,45,1
46,57,0
76,18,1
90,20,1
74,55,1
23,38,0
91,17,1
3,75,0
85,60,1
